no, name ,code, type, size
1,会社コード,KSYCD,CHAR,2
2,顧客コード,KKYKCD,CHAR,8
3,顧客仕入区分,KKYK_SKBT_KBN,CHAR,1
8,顧客名称１,KYKNM_1,GRAPHIC,17
9,顧客名称２,KYKNM_2,GRAPHIC,17
14,顧客郵便番号,KKYK_ZIP,CHAR,7
15,都道府県名称,PREF_NM,GRAPHIC,4
16,顧客住所１,KKYK_ADR_1,GRAPHIC,15
17,顧客住所２,KKYK_ADR_2,GRAPHIC,15
18,顧客住所３,KKYK_ADR_3,GRAPHIC,15
22,顧客電話番号,KKYK_TELNO,CHAR,13
23,顧客ＦＡＸ番号,KKYK_FAXNO,CHAR,13
24,業種大分類コード,GYSD_BNRCD,CHAR,2
25,業種コード,GYSCD,CHAR,2
26,地区コード,TIKU_CD,CHAR,5
27,顧客資本金,KKYK_SIHON,DECIMAL,11
28,顧客決算月,KKYK_KESSAN_MM,CHAR,2
29,創業年月,SGYM,CHAR,6
30,設立年月,SRYM,CHAR,6
31,顧客年商,KKYK_NENSHO,DECIMAL,11
32,顧客従業員数,KKYK_JGSU,INTEGER,7
33,顧客総資産,KKYK_SSISAN,DECIMAL,11
37,論理削除フラグ,LGC_FLG,CHAR,1
38,登録ユーザＩＤ,TRK_USERID,CHAR,8
39,登録ＰＧＭＩＤ,TRK_PGMID,CHAR,30
40,登録日時,INP_DAYT,TIMESTAMP,10
41,最終更新ユーザＩＤ,SIS_KS_USERID,CHAR,8
42,最終更新ＰＧＭＩＤ,SIS_KS_PGMID,CHAR,30
43,最終更新日時,LAST_UPD_DAYT,TIMESTAMP,10
44,ホームページアドレス,HP_URL,VARCHAR,50
