no, name ,code, type, size
1,会社コード,KSYCD,CHAR,2
2,作番,SBN,CHAR,9
3,作番区分,SBN_KBN,CHAR,1
4,受注区分,ODR_KBN,CHAR,1
5,受注日,ODDAY,CHAR,8
6,受注ポイントコード,ODR_PNTCD,CHAR,4
7,受注ポイント名称,ODR_PNTNM,GRAPHIC,16
8,受注担当者コード,ODR_TNTCD,CHAR,5
9,受注担当者氏名,ODR_TNTNM,GRAPHIC,15
10,顧客コード,KKYKCD,CHAR,8
20,顧客法人区分,KKYK_HJN_KBN,CHAR,1
21,依頼者コメント,IRIS_CMT,GRAPHIC,50
22,請求先区分,SKSK_KBN,CHAR,1
23,顧客注文番号,KKYK_TYMNNO,CHAR,10
24,請求先顧客コード,SKSK_KKYKCD,CHAR,8
34,請求先法人区分,SKSK_HJN_KBN,CHAR,1
35,請求先取引可否区分,SKSK_TRHK_KHI_KBN,CHAR,1
36,請求先取引制限区分,SKSK_TRSGN_KBN,CHAR,1
37,請求先経営状態区分,SKSK_KEIE_STA_KBN,CHAR,2
38,請求先全商品与信枠金額,SKSK_ALLSYHN_YWKG,DECIMAL,11
40,請求先全商品滞留売掛金残高,SKSK_ALS_TRY_UKZDK,DECIMAL,11
42,請求先全商品滞留月数,SKSK_ALLSYHN_TMSU,INTEGER,3
44,請求先総債権金額,SKSK_S_SKKG,DECIMAL,11
45,請求先最新事故日,SKSK_NEW_JKODAY,CHAR,8
46,請求先最新事故コメント,SKSK_NEW_JKCMT,CHAR,50
47,請求先依頼者コメント,SKSK_IRIS_CMT,GRAPHIC,50
48,地域価格適用フラグ,TKKK_TYFLG,CHAR,1
49,消費税計算方法区分,SYOZ_KSN_HOHO_KBN,CHAR,1
50,機種,KISY,CHAR,11
51,型式,TYP,CHAR,2
52,小変形,SYHK,CHAR,2
53,機番,KIBAN,CHAR,12
54,機種コメント,KISY_CMT,CHAR,11
55,製品分類コードＡ,SEHN_BNR_CD_A,CHAR,15
56,製品分類コードＢ,SEHN_BNR_CD_B,CHAR,10
57,サービスメータ区分,SVC_MTR_KBN,CHAR,1
58,入力サービスメータ,INP_SVC_MTR,INTEGER,5
59,サービスメータ,SVC_MTR,INTEGER,5
60,サービスメータ更新日,SVC_MTR_UPDAY,CHAR,8
61,顧客管理番号,KKYK_KNRNO,CHAR,15
62,保有顧客コード,HY_KKYKCD,CHAR,8
65,ＮＵ区分,NU_KBN,CHAR,1
