no, name ,code, type, size
1,会社コード,KSYCD,CHAR,2
2,作番,SBN,CHAR,9
3,部品明細番号,BHN_MSINO,CHAR,3
4,部品明細番号追番,BHN_MSINO_MNO,CHAR,2
5,明細登録日,MIDAY,CHAR,8
7,定額無償区分,TEGK_MSYO_KBN,CHAR,1
8,外注部品区分,GAIT_B_KBN,CHAR,1
9,発注番号,HACYNO,CHAR,10
10,外注受入明細番号,GTUIR_MSINO,CHAR,3
11,品番,HNBN,CHAR,20
12,手配品番,TEHI_HNBN,CHAR,20
13,部品名称,BHN_NM,GRAPHIC,15
14,部品管理区分,BKNR_KBN,CHAR,2
15,部品種類区分,BHN_KIND_KBN,CHAR,1
16,部品区分,BHN_KBN,CHAR,1
17,部品メーカ区分,BHN_MAKR_KBN,CHAR,2
18,部品地域価格適用有無,BHN_TKKK_TKUMU,CHAR,1
19,部品地域価格適用前単価,BHN_TKKK_TMTNK,DECIMAL,11
20,部品地域価格掛率,BHN_TKKK_KKR,DECIMAL,5
21,標準単価,HJUN_TNK,DECIMAL,11
22,請求単価,SKTNK,DECIMAL,11
23,帳票請求単価,CYHY_SKTNK,DECIMAL,11
24,顧客設定請求単価,KKYK_STI_SKTNK,DECIMAL,11
25,適用値引率,TKY_NBR,DECIMAL,5
26,予定原価単価,YTGK_TNK,DECIMAL,11
27,ダミー部品掛け率,DMBHN_KRTU,DECIMAL,5
28,受注数量,ODR_SU,INTEGER,7
29,受注数量単位,ODR_SURY_TNI,GRAPHIC,4
30,未手配数量,MTHSU,INTEGER,7
31,キャンセル数量,CANSL_SU,INTEGER,7
32,在庫振当数量,ZAIK_FATSU,INTEGER,7
33,仕掛振当数量,SKKR_FATSU,INTEGER,7
34,出庫伝票出力数量,SHKDNP_SRSU,INTEGER,7
35,出庫完了数量,SHK_KRSU,INTEGER,7
36,出荷完了数量,SYKA_KRSU,INTEGER,7
37,標準価格,HJUN_KKU,DECIMAL,11
38,社内標準価格,SYAN_HYJK,DECIMAL,11
39,条件値引金額,JKN_NBKG,DECIMAL,11
40,特別値引金額,TBNB_KGK,DECIMAL,11
41,予定原価金額,YTI_GNKA_KGK,DECIMAL,11
42,原価金額,GNKA_KGK,DECIMAL,11
44,請求金額,SKKG,DECIMAL,11
45,社内請求金額,SYAN_SKKG,DECIMAL,11
46,消費税額,SHZG,DECIMAL,11
47,消費税率,SZR,DECIMAL,5
48,価格維持率,KKIJ_RIT,DECIMAL,5
49,粗利金額,ARRI_KGK,DECIMAL,11
50,粗利率,ARR,DECIMAL,5
51,キャンペーン価格有無フラグ,CMPKK_UMFLG,CHAR,1
52,キャンペーン適用有無フラグ,CMP_TKY_UMFLG,CHAR,1
53,キャンペーン名称,CMP_NM,GRAPHIC,15
58,原価追加フラグ,GTKFLG,CHAR,1
59,論理削除フラグ,LGC_FLG,CHAR,1
61,部品値引対象区分,BHN_NBK_KBN,CHAR,1
62,登録ユーザＩＤ,TRK_USERID,CHAR,8
63,登録ＰＧＭＩＤ,TRK_PGMID,CHAR,30
64,登録日時,INP_DAYT,TIMESTAMP,10
65,最終更新ユーザＩＤ,SIS_KS_USERID,CHAR,8
66,最終更新ＰＧＭＩＤ,SIS_KS_PGMID,CHAR,30
67,最終更新日時,LAST_UPD_DAYT,TIMESTAMP,10
