no, name ,code, type, size
1,会社コード,KSYCD,CHAR,2
2,作番,SBN,CHAR,9
3,作業明細番号,SGYO_MSINO,CHAR,3
4,重複削除フラグ,DBL_DLFLG,CHAR,1
5,作業区分,SGYO_KBN,CHAR,1
6,外注作業区分,GT_SGYO_KBN,CHAR,1
7,外注作業掛率,GT_SGYO_KKR,DECIMAL,5
10,作業コード,SGYOCD,CHAR,6
11,有効期間開始日,YKKN_STDAY,CHAR,8
12,作業名称,SGYO_NM,GRAPHIC,28
13,作業名称補足,SGYO_NM_HSK,GRAPHIC,28
14,定額使用ポイントコード,TEGK_SIY_PNTCD,CHAR,4
15,定額追番,TEGK_MNO,CHAR,3
16,部品代金有無,BHN_DKUMU,CHAR,1
17,標準単価,HJUN_TNK,DECIMAL,11
18,請求単価,SKTNK,DECIMAL,11
19,帳票請求単価,CYHY_SKTNK,DECIMAL,11
20,顧客設定請求単価,KKYK_STI_SKTNK,DECIMAL,11
21,適用値引率,TKY_NBR,DECIMAL,5
22,純工賃合計予定原価,JKT_SUM_YTGK,DECIMAL,11
23,外注合計予定原価,GT_SUM_YTGK,DECIMAL,11
24,技術レベル係数,GKISU,DECIMAL,3
25,身体的負荷係数,SNTT_FUKA_KISU,DECIMAL,3
26,商品層別係数,SYHN_SBT_KISU,DECIMAL,3
27,請求係数,INV_KISU,DECIMAL,3
28,標準工数,HJUN_KOS,DECIMAL,7
29,請求工数,INV_KOS,DECIMAL,7
30,指示工数,SIJI_KOS,DECIMAL,7
31,実績累計工数,JRKOS,DECIMAL,7
32,受注数量,ODR_SU,INTEGER,7
33,標準価格,HJUN_KKU,DECIMAL,11
34,社内標準価格,SYAN_HYJK,DECIMAL,11
35,条件値引金額,JKN_NBKG,DECIMAL,11
36,特別値引金額,TBNB_KGK,DECIMAL,11
37,請求金額,SKKG,DECIMAL,11
38,社内請求金額,SYAN_SKKG,DECIMAL,11
39,技術料外注売上区分,GJRY_GT_UAGE_KBN,CHAR,1
40,純工賃合計原価,JKT_GKGK,DECIMAL,11
41,外注合計原価,GT_GKGK,DECIMAL,11
42,直接原価,TYK_GNKA,DECIMAL,11
43,消費税額,SHZG,DECIMAL,11
44,消費税率,SZR,DECIMAL,5
45,価格維持率,KKIJ_RIT,DECIMAL,5
46,粗利金額,ARRI_KGK,DECIMAL,11
47,粗利率,ARR,DECIMAL,5
48,作業指示日,SGYO_SJDAY,CHAR,8
49,資格有無フラグ,SKK_UMFLG,CHAR,1
50,外注割付有無フラグ,GTWT_UMFLG,CHAR,1
51,作業完了フラグ,SGYO_KRFLG,CHAR,1
52,原価追加フラグ,GTKFLG,CHAR,1
53,出張費フラグ,SCHH_FLG,CHAR,1
54,論理削除フラグ,LGC_FLG,CHAR,1
55,登録ユーザＩＤ,TRK_USERID,CHAR,8
56,登録ＰＧＭＩＤ,TRK_PGMID,CHAR,30
57,登録日時,INP_DAYT,TIMESTAMP,10
58,最終更新ユーザＩＤ,SIS_KS_USERID,CHAR,8
59,最終更新ＰＧＭＩＤ,SIS_KS_PGMID,CHAR,30
60,最終更新日時,LAST_UPD_DAYT,TIMESTAMP,10
