no, name ,code, type, size
1,DWH挿入時間,DWH_INSERT_TIME,DATE,7
2,DWH更新時間,DWH_UPDATE_TIME,DATE,7
3,DWH破棄時間,DWH_SCRAP_TIME,DATE,7
4,メーカーコード,MAKER_CODE,CHAR,4
5,機種,KISY,VARCHAR2,20
6,型式,TYP,VARCHAR2,20
7,小変形,SYHK,VARCHAR2,20
8,機番,KIBAN,VARCHAR2,20
9,時間フラグ,TIME_FLAG,NUMBER,1
12,GPS時間,GPS_TIME,DATE,7
13,計測時間,MEASURE_TIME,DATE,7
14,緯度,LATITUDE,VARCHAR2,20
15,経度,LONGITUDE,VARCHAR2,20
16,場所,PLACE,VARCHAR2,5
17,エンジン,ENGINE,NUMBER,1
18,NU区分,OLD,NUMBER,1
19,イベント,EVENT,NUMBER,2
20,DLフラグ,DL_FLAG,NUMBER,1
21,SDフラグ,SD_FLAG,NUMBER,1
